frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
40,5.0,[2216.5228133224264 1340.7019094448074 2878.4322631205105 2010.306467215432],[2457.27490234375 1802.0262451171875 2646.574951171875 1891.9324951171875],0.6738560795783997,0,0
41,5.0,[2217.2919183900945 1344.25143376215 2884.215681254797 2015.4644297530308],[2456.88818359375 1805.865966796875 2646.154052734375 1896.6470947265625],0.6552442908287048,0,0
42,5.0,[2218.8725179772305 1355.1173376810207 2887.051196122891 2027.3049498129926],[2463.614013671875 1817.2789306640625 2655.18701171875 1900.1224365234375],0.5812811851501465,0,0
43,5.0,[2223.265212307861 1366.3167753805587 2895.621468675566 2039.7281054203231],[2466.374267578125 1826.6297607421875 2660.42822265625 1914.635009765625],0.6811327934265137,0,0
44,5.0,[2221.1178697760147 1369.7065863149578 2899.373534734055 2045.8264001556972],[2466.073486328125 1830.2845458984375 2659.58447265625 1917.1065673828125],0.6828470230102539,0,0
44,6.0,[1133.7612635033174 1143.9753817585085 1714.484580645883 1600.1566330627863],[1354.1923828125 1420.5323486328125 1513.2813720703125 1506.3333740234375],0.2555859386920929,GX15OGJ,0.1932475404403401
45,5.0,[2222.064139190928 1372.2667669462714 2902.615398348758 2052.826694261032],[2472.37890625 1836.032958984375 2665.0087890625 1930.83837890625],0.6747440695762634,0,0
46,5.0,[2222.314488550499 1377.2948166704764 2905.185328350013 2061.1470956719986],[2477.49853515625 1846.67138671875 2669.35546875 1936.99365234375],0.6553391814231873,0,0
47,5.0,[2223.5852512935926 1381.2961472513261 2908.8824904504936 2067.334059458933],[2474.115234375 1849.404541015625 2671.718994140625 1940.357421875],0.6413108110427856,0,0
48,5.0,[2226.20965918662 1384.1632810856552 2919.061549751997 2073.756845448167],[2477.614990234375 1861.7120361328125 2674.664306640625 1950.8133544921875],0.6651971340179443,0,0
49,5.0,[2225.396949688099 1392.290077181471 2919.906140642156 2082.9652257834696],[2476.667236328125 1874.605224609375 2673.083740234375 1963.8277587890625],0.7115466594696045,0,0
49,6.0,[1118.8241179778304 1164.41238835971 1707.819544372949 1631.931524332928],[1325.109375 1450.8758544921875 1479.09375 1523.8338623046875],0.25210800766944885,0,0
50,5.0,[2225.526608977337 1397.1170959635474 2926.0015208013688 2088.905808771527],[2478.65576171875 1876.3524169921875 2673.87744140625 1965.5372314453125],0.6968823075294495,IW51YSU,0.012656103978365627
51,5.0,[2230.01547464411 1400.7582937628008 2934.6862049703227 2096.3259531652493],[2485.389892578125 1889.4407958984375 2677.994140625 1978.6556396484375],0.6927865147590637,0,0
52,5.0,[2232.3630712255963 1406.4959901169032 2938.0996662037896 2103.3238408570655],[2487.904541015625 1898.7930908203125 2683.07177734375 1985.6766357421875],0.6603764891624451,0,0
52,6.0,[1108.3159814685619 1176.5655096328233 1706.550659732252 1651.7625410215746],[1315.2769775390625 1456.226806640625 1499.302734375 1549.8658447265625],0.2720475196838379,0,0
53,5.0,[2233.9035726464417 1411.6496432624563 2941.721267912638 2110.778893316396],[2486.506103515625 1898.7161865234375 2685.307373046875 1988.0035400390625],0.6587367653846741,0,0
